system,CO-atop,d-hi1,d-hi2,d-pos1,d-pos2,d-wd1,d-wd2,p-hi1,p-hi2,p-pos1,p-pos2,p-wi1,p-wi2,s-hi1,s-hi2,s-pos1,s-pos2,s-wi1,s-wi2,energy,efermi
Rh0.3Pt0.7_111,-1.602 ,1390.144 ,966.564 ,-3.802 ,-1.115 ,2.926 ,0.867 ,74.193 ,47.202 ,-3.630 ,2.307 ,2.362 ,0.936 ,133.689 ,32.029 ,-7.082 ,-3.808 ,1.608 ,0.854 ,-394.520 ,-0.948 
Ir0.5Au0.5_111,-0.145 ,1367.449 ,740.363 ,-4.636 ,-1.073 ,2.631 ,1.475 ,70.604 ,53.835 ,-4.221 ,1.565 ,3.654 ,1.897 ,136.246 ,34.208 ,-7.126 ,-3.849 ,1.719 ,5.241 ,-348.064 ,-0.867 
Rh0.4Pt0.6_111,-1.669 ,1385.486 ,951.337 ,-3.717 ,-1.043 ,2.945 ,0.860 ,73.846 ,48.033 ,-3.536 ,2.430 ,2.351 ,0.953 ,126.989 ,31.608 ,-6.982 ,-3.723 ,1.653 ,0.858 ,-401.005 ,-0.920 
Rh0.5Ir0.5_111,-1.517 ,1335.705 ,1278.708 ,-3.393 ,-0.982 ,1.129 ,1.597 ,89.020 ,71.335 ,-2.980 ,-5.566 ,1.461 ,1.754 ,153.760 ,37.932 ,-6.751 ,-3.261 ,1.648 ,0.972 ,-489.236 ,-0.451 
Rh0.5Pt0.5_111,-1.648 ,1395.031 ,930.763 ,-3.629 ,-0.968 ,2.955 ,0.846 ,73.866 ,49.358 ,-3.483 ,2.559 ,2.401 ,0.963 ,120.627 ,30.751 ,-6.840 ,-3.611 ,1.704 ,0.844 ,-407.240 ,-0.899 
Pd0.5Ir0.5_111,-0.829 ,1436.047 ,715.042 ,-3.625 ,-0.905 ,2.887 ,1.021 ,63.793 ,57.718 ,2.350 ,-5.600 ,1.254 ,1.892 ,127.636 ,30.134 ,-6.917 ,-3.608 ,1.683 ,0.883 ,-411.279 ,-0.864 
Pd0.4Ir0.6_111,-1.848 ,1334.169 ,633.264 ,-3.497 ,-0.635 ,3.060 ,1.056 ,61.102 ,58.648 ,2.537 ,-5.536 ,1.252 ,2.153 ,125.368 ,30.036 ,-7.029 ,-3.540 ,1.784 ,0.928 ,-435.856 ,-0.702 
Ir0.3Pt0.7_111,-1.169 ,1366.690 ,963.555 ,-3.974 ,-0.589 ,1.511 ,0.777 ,80.089 ,45.871 ,-4.160 ,2.367 ,3.375 ,0.940 ,147.955 ,33.417 ,-7.359 ,-3.923 ,1.609 ,0.863 ,-420.214 ,-0.725 
Ir0.4Pt0.6_111,-1.866 ,1325.394 ,990.782 ,-3.914 ,-0.454 ,1.529 ,0.827 ,59.024 ,55.164 ,2.161 ,-2.863 ,1.255 ,3.670 ,148.614 ,33.262 ,-7.347 ,-3.861 ,1.622 ,0.886 ,-435.984 ,-0.638 
Pd0.3Ir0.7_111,-1.894 ,1447.563 ,583.548 ,-3.276 ,-0.352 ,3.285 ,0.890 ,92.734 ,54.911 ,-3.576 ,1.928 ,3.168 ,1.607 ,149.433 ,34.854 ,-7.077 ,-3.551 ,1.708 ,0.923 ,-458.054 ,-0.591 
