system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Rh0.5Ir0.5_111,-1.517,1911.059,1181.749,-2.898,0.242,3.185,1.12,24.847,133.187,-5.506,-2.701,0.923,3.587,206.642,49.089,-6.306,-2.697,1.75,1.114,-0.451
Rh0.55Ir0.45_111,-1.488,1962.596,1207.589,-2.849,0.227,3.147,1.11,25.984,131.677,-5.396,-2.631,0.917,3.549,205.51,49.076,-6.181,-2.628,1.728,1.105,-0.496
Rh0.7Ag0.3_111,-1.485,1913.635,1897.248,-3.916,-0.652,1.852,1.763,83.763,88.757,-2.308,2.975,3.263,1.527,122.981,45.028,-5.086,-0.526,1.333,5.382,-1.141
Rh0.3Ir0.7_111,-1.464,1781.564,1112.595,-3.031,0.291,3.307,1.149,22.717,138.11,-5.89,-2.887,1.001,3.682,209.228,46.559,-6.632,-2.991,1.834,0.967,-0.328
Pt0.45Cu0.55_111,-1.414,2953.058,111.376,-2.038,3.945,2.068,1.933,86.022,97.32,-3.169,3.265,2.834,2.846,129.969,57.276,-5.743,5.835,2.125,0.805,-1.511
Pd0.15Pt0.85_111,-1.41,1903.913,1002.156,-2.672,-0.322,2.966,0.86,91.576,92.46,-3.131,3.298,3.109,2.038,168.355,46.522,-6.102,2.094,1.725,2.069,-1.142
Pt0.15Au0.85_111,-1.392,1796.729,76.921,-3.301,4.01,2.647,2.14,55.516,63.109,-4.065,2.338,2.58,2.847,126.94,95.346,-6.305,4.868,1.568,1.322,-1.272
Pt0.8Au0.2_111,-1.354,1846.639,893.22,-2.894,-0.397,2.978,0.903,88.129,88.628,-3.272,3.379,3.129,2.382,173.761,59.236,-6.192,5.482,1.682,0.758,-1.15
Pt0.9Ag0.1_111,-1.353,1862.335,966.77,-2.954,-0.332,2.855,0.967,87.873,89.536,-3.236,3.48,3.101,2.411,168.885,53.251,-6.151,2.962,1.677,2.625,-1.109
Pd0.4Pt0.6_111,-1.353,2089.57,1075.061,-2.523,-0.349,2.776,0.842,87.904,97.077,-2.93,3.392,2.935,2.073,159.108,49.536,-5.713,2.307,1.684,2.963,-1.295
Rh0.45Pt0.55_111,-1.322,1945.036,1055.732,-2.658,-0.11,3.122,0.904,103.099,91.379,-2.987,2.888,3.246,1.564,168.136,39.819,-6.016,2.949,1.765,1.561,-0.898
Pt0.65Ag0.35_111,-1.321,2172.418,1273.755,-3.633,-0.693,2.08,1.262,74.75,89.256,-3.24,3.461,2.98,2.833,152.48,74.16,-5.861,5.824,1.587,0.823,-1.324
Pt0.55Au0.45_111,-1.32,1926.868,1102.412,-3.366,-0.635,2.511,1.133,81.054,86.18,-3.404,3.429,2.992,2.937,171.376,105.55,-6.116,5.517,1.639,0.922,-1.287
Rh0.1Pt0.9_111,-1.32,1804.934,978.78,-2.775,-0.252,3.098,0.889,94.697,93.305,-3.203,3.333,3.224,2.026,50.95,178.355,-7.947,-6.062,1.28,1.237,-0.998
Rh0.05Pt0.95_111,-1.318,1802.739,976.163,-2.788,-0.269,3.085,0.879,94.337,91.516,-3.236,3.279,3.211,2.015,53.538,180.423,-7.95,-6.074,1.296,1.217,-1.018
Pt0.7Au0.3_111,-1.307,1899.597,1078.407,-3.167,-0.487,2.684,1.078,86.732,89.532,-3.26,3.291,3.132,2.366,175.162,63.237,-6.151,5.351,1.669,0.763,-1.206
Pd0.35Pt0.65_111,-1.296,2055.876,1054.399,-2.522,-0.345,2.802,0.837,87.799,95.177,-2.953,3.385,2.963,2.076,152.972,38.749,-5.763,1.027,1.777,2.715,-1.279
Pt0.75Au0.25_111,-1.294,1877.194,1068.652,-3.141,-0.458,2.715,1.048,87.06,88.917,-3.273,3.317,3.139,2.375,174.053,63.526,-6.176,5.413,1.681,0.758,-1.187
Rh0.25Pt0.75_111,-1.283,1813.606,981.957,-2.733,-0.197,3.116,0.889,95.152,96.335,-3.139,3.435,3.247,2.039,166.025,43.613,-6.186,2.14,1.765,2.121,-0.965
Rh0.15Pt0.85_111,-1.279,1803.185,983.361,-2.766,-0.241,3.101,0.893,94.683,93.901,-3.181,3.359,3.231,2.027,172.481,45.081,-6.233,2.12,1.715,2.08,-0.987
Pt0.95Ag0.05_111,-1.274,1766.555,935.385,-2.823,-0.306,3.028,0.888,89.479,87.984,-3.275,3.506,3.118,2.39,49.252,176.881,-7.958,-6.032,1.263,1.233,-1.085
Ir0.25Pt0.75_111,-1.271,1674.632,826.105,-2.906,-0.16,3.308,0.957,102.46,76.013,-3.415,2.783,3.35,1.862,162.021,42.016,-6.601,3.218,1.439,1.898,-0.779
Pt0.95Au0.05_111,-1.268,1741.473,928.838,-2.814,-0.312,3.072,0.879,90.247,87.638,-3.3,3.5,3.137,2.38,48.84,178.736,-8.045,-6.094,1.249,1.247,-1.052
Pt0.55Ag0.45_111,-1.264,2348.803,1324.813,-3.765,-0.788,1.953,1.299,70.182,90.679,-3.229,3.354,2.985,2.848,134.098,64.802,-5.796,5.741,1.391,0.756,-1.399
Pd0.05Pt0.95_111,-1.263,1851.614,983.69,-2.739,-0.305,3.026,0.867,93.306,91.265,-3.209,3.261,3.153,2.032,51.744,181.676,-7.931,-6.015,1.264,1.229,-1.087
Pt0.5Ag0.5_111,-1.263,2494.92,1362.105,-3.825,-0.888,1.858,1.238,67.926,92.468,-3.246,3.268,2.934,2.842,131.209,63.028,-5.741,5.699,1.325,0.751,-1.436
Pt0.85Au0.15_111,-1.257,1811.597,882.183,-2.843,-0.337,3.025,0.874,88.865,88.056,-3.286,3.425,3.133,2.388,172.74,56.914,-6.231,2.96,1.689,2.556,-1.111
Pd0.2Pt0.8_111,-1.256,1953.77,1014.814,-2.627,-0.324,2.917,0.85,90.88,93.842,-3.08,3.32,3.056,2.051,167.303,46.076,-5.979,2.037,1.715,2.138,-1.191
Ir0.1Pt0.9_111,-1.255,1737.901,880.409,-2.851,-0.241,3.194,0.918,98.044,91.449,-3.328,3.27,3.312,2.008,181.075,45.247,-6.448,2.156,1.708,2.048,-0.899
Ir0.05Pt0.95_111,-1.254,1770.976,922.931,-2.826,-0.269,3.137,0.893,96.215,90.717,-3.304,3.248,3.253,2.016,54.6,184.669,-8.057,-6.161,1.327,1.224,-0.968
Ir0.15Pt0.85_111,-1.254,1720.946,863.422,-2.863,-0.219,3.225,0.923,98.917,91.618,-3.341,3.286,3.343,2.012,160.407,43.469,-6.501,3.142,1.426,1.956,-0.874
Pt0.6Au0.4_111,-1.25,1898.165,1033.744,-3.271,-0.559,2.581,1.128,81.9,85.651,-3.386,3.505,3.01,2.935,169.658,103.799,-6.125,5.596,1.664,0.92,-1.265
Pd0.5Cu0.5_111,-1.244,3535.31,112.086,-1.825,3.959,1.916,1.765,83.159,104.413,-2.788,3.389,2.254,2.859,130.163,43.134,-4.715,1.388,1.703,4.056,-1.796
Rh0.2Pt0.8_111,-1.23,1807.985,981.848,-2.744,-0.218,3.112,0.896,95.069,95.54,-3.148,3.41,3.236,2.038,169.697,44.193,-6.202,2.141,1.726,2.097,-0.967
Pd0.1Pt0.9_111,-1.229,1889.331,996.807,-2.696,-0.314,2.983,0.862,92.3,92.236,-3.156,3.281,3.117,2.036,172.524,46.224,-6.12,2.006,1.705,2.121,-1.126
Pt0.6Ag0.4_111,-1.227,2203.343,1441.284,-3.695,-0.787,1.973,1.298,73.448,90.718,-3.18,3.45,2.94,2.821,136.245,65.893,-5.81,5.811,1.428,0.767,-1.363
Pt0.25Cu0.75_111,-1.203,3480.227,101.951,-2.253,3.751,1.728,2.654,83.942,101.017,-3.315,2.634,2.652,2.621,120.888,80.902,-5.602,5.836,2.234,1.063,-1.632
Ir0.2Pt0.8_111,-1.202,1690.478,831.676,-2.89,-0.183,3.284,0.944,100.969,92.522,-3.365,3.317,3.401,2.01,161.411,42.418,-6.573,3.195,1.436,1.923,-0.808
Pt0.35Cu0.65_111,-1.198,3253.508,117.89,-2.089,3.553,1.888,2.012,85.744,99.082,-3.138,3.162,2.8,2.836,126.111,57.252,-5.636,5.627,2.201,0.833,-1.572
Ir0.3Pt0.7_111,-1.169,1769.191,880.264,-2.958,-0.118,3.324,0.998,111.52,83.146,-3.383,2.611,3.493,1.478,197.156,45.927,-6.65,2.759,1.736,1.389,-0.725
Pd0.45Pt0.55_111,-1.164,2134.749,1096.364,-2.481,-0.353,2.729,0.836,86.763,97.474,-2.882,3.42,2.885,2.096,154.32,48.686,-5.607,2.3,1.699,2.979,-1.333
Ir0.5Pt0.5_111,-1.159,1663.736,826.664,-3.009,0.046,3.474,1.055,117.151,83.594,-3.397,2.752,3.648,1.477,198.912,43.266,-6.805,2.883,1.76,1.435,-0.553
Pt0.6Cu0.4_111,-1.145,2502.358,106.032,-2.019,4.459,2.401,1.793,84.927,91.428,-3.196,3.472,2.988,2.825,138.811,70.322,-5.939,5.931,2.012,0.845,-1.363
